path,name,extension,size_bytes,size_mb,modified,directory,is_hidden
/Users/steven/Documents/json/_misnamed_rtf/2025-07-31_21-05-12.json,2025-07-31_21-05-12.json,.json,656,0.0,2025-10-26 02:22:26,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-11_17-57-53.json,2025-09-11_17-57-53.json,.json,656,0.0,2025-10-26 02:22:20,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-11_23-48-55.json,2025-09-11_23-48-55.json,.json,656,0.0,2025-10-26 02:22:19,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-11_17-53-06.json,2025-09-11_17-53-06.json,.json,656,0.0,2025-10-26 02:22:20,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-11_18-02-54.json,2025-09-11_18-02-54.json,.json,656,0.0,2025-10-26 02:22:20,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-06_15-02-19.json,2025-09-06_15-02-19.json,.json,656,0.0,2025-10-26 02:22:21,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-11_18-01-05.json,2025-09-11_18-01-05.json,.json,656,0.0,2025-10-26 02:22:20,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2024-12-07_16-02-59.json,2024-12-07_16-02-59.json,.json,656,0.0,2025-10-26 02:22:40,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-03-08_22-04-46.json,2025-03-08_22-04-46.json,.json,656,0.0,2025-10-26 02:22:36,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-08-07_01-03-47.json,2025-08-07_01-03-47.json,.json,656,0.0,2025-10-26 02:22:24,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-11_18-00-45.json,2025-09-11_18-00-45.json,.json,656,0.0,2025-10-26 02:22:20,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-04-29_03-42-57.json,2025-04-29_03-42-57.json,.json,656,0.0,2025-10-26 02:22:32,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-11_17-43-56.json,2025-09-11_17-43-56.json,.json,656,0.0,2025-10-26 02:22:20,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-06-01_03-51-14af.json,2025-06-01_03-51-14af.json,.json,656,0.0,2025-10-26 02:22:27,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-11_17-51-06.json,2025-09-11_17-51-06.json,.json,656,0.0,2025-10-26 02:22:20,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-06_12-09-28.json,2025-09-06_12-09-28.json,.json,656,0.0,2025-10-26 02:22:21,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-04-29_22-29-16.json,2025-04-29_22-29-16.json,.json,656,0.0,2025-10-26 02:22:31,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-11_18-02-08.json,2025-09-11_18-02-08.json,.json,656,0.0,2025-10-26 02:22:20,/Users/steven/Documents/json/_misnamed_rtf,False
