original_path,new_path,category,size_bytes,is_duplicate
/Users/steven/Documents/HTML/misc/Prompt 69 b1d047bb6c434ecdb6c8fcde7a4da29c.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 69 b1d047bb6c434ecdb6c8fcde7a4da29c.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Adventures_of_an_Aberration-2025-05-01.html,/Users/steven/Documents/HTML/organized/ai-prompts/Adventures_of_an_Aberration-2025-05-01.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/quantumforgelabs-x-avatararts-eb770b84.html,/Users/steven/Documents/HTML/organized/ai-prompts/quantumforgelabs-x-avatararts-eb770b84.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Suno 70281e93ca434441aace460834682888.html,/Users/steven/Documents/HTML/organized/ai-prompts/Suno 70281e93ca434441aace460834682888.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 42 dce58aec27a94f28a48360c635339540.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 42 dce58aec27a94f28a48360c635339540.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 1 6693d0b150a04ca7a91df24579997461.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 1 6693d0b150a04ca7a91df24579997461.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Fixing_External_Drive_Permissions.html,/Users/steven/Documents/HTML/organized/ai-prompts/Fixing_External_Drive_Permissions.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Automating_CGPT_Actions.html,/Users/steven/Documents/HTML/organized/ai-prompts/Automating_CGPT_Actions.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 68 82e317e26d1f4d6d81315cf62498e4fa.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 68 82e317e26d1f4d6d81315cf62498e4fa.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 24 fc99b6c382a5491f9ac6727f46c37631.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 24 fc99b6c382a5491f9ac6727f46c37631.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 17 eb976d7da7e04b8f8664f1bf23c825e8.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 17 eb976d7da7e04b8f8664f1bf23c825e8.html,ai-prompts,0,False
